model,target,test_year,feature,importance
lgbm_network_pressure,fwd_ret_1m,2017,z_fragility_proxy_x_network_peer_sell_pressure,289.0
lgbm_network_pressure,fwd_ret_1m,2017,z_owner_hhi_x_stock_sell_pressure,413.0
lgbm_network_pressure,fwd_ret_1m,2017,z_network_weighted_degree_x_network_peer_sell_pressure,270.0
ridge_all,fwd_ret_1m,2018,z_owner_count,0.00048707149107940495
ridge_all,fwd_ret_1m,2018,z_owner_hhi,0.0011040271492674947
ridge_all,fwd_ret_1m,2018,z_top_owner_share,0.0008003722759895027
ridge_all,fwd_ret_1m,2018,z_fragility_proxy,0.0017717900918796659
ridge_all,fwd_ret_1m,2018,z_avg_manager_breadth,0.002640737220644951
ridge_all,fwd_ret_1m,2018,z_stock_sell_pressure,0.0346282422542572
ridge_all,fwd_ret_1m,2018,z_network_degree,0.0030199808534234762
ridge_all,fwd_ret_1m,2018,z_network_weighted_degree,0.0014094620710238814
ridge_all,fwd_ret_1m,2018,z_network_peer_sell_pressure,0.003857961855828762
ridge_all,fwd_ret_1m,2018,z_mktcap_proxy,0.00054645020281896
ridge_all,fwd_ret_1m,2018,z_vol,0.007714028470218182
ridge_all,fwd_ret_1m,2018,z_fragility_proxy_x_stock_sell_pressure,0.005379587411880493
ridge_all,fwd_ret_1m,2018,z_fragility_proxy_x_network_peer_sell_pressure,3.765980000025593e-05
ridge_all,fwd_ret_1m,2018,z_owner_hhi_x_stock_sell_pressure,0.003970352467149496
ridge_all,fwd_ret_1m,2018,z_network_weighted_degree_x_network_peer_sell_pressure,0.00023795210290700197
lgbm_all,fwd_ret_1m,2018,z_owner_count,235.0
lgbm_all,fwd_ret_1m,2018,z_owner_hhi,170.0
lgbm_all,fwd_ret_1m,2018,z_top_owner_share,68.0
lgbm_all,fwd_ret_1m,2018,z_fragility_proxy,139.0
lgbm_all,fwd_ret_1m,2018,z_avg_manager_breadth,110.0
lgbm_all,fwd_ret_1m,2018,z_stock_sell_pressure,677.0
lgbm_all,fwd_ret_1m,2018,z_network_degree,215.0
lgbm_all,fwd_ret_1m,2018,z_network_weighted_degree,442.0
lgbm_all,fwd_ret_1m,2018,z_network_peer_sell_pressure,207.0
lgbm_all,fwd_ret_1m,2018,z_mktcap_proxy,444.0
lgbm_all,fwd_ret_1m,2018,z_vol,459.0
lgbm_all,fwd_ret_1m,2018,z_fragility_proxy_x_stock_sell_pressure,103.0
lgbm_all,fwd_ret_1m,2018,z_fragility_proxy_x_network_peer_sell_pressure,55.0
lgbm_all,fwd_ret_1m,2018,z_owner_hhi_x_stock_sell_pressure,150.0
lgbm_all,fwd_ret_1m,2018,z_network_weighted_degree_x_network_peer_sell_pressure,66.0
lgbm_no_network,fwd_ret_1m,2018,z_owner_count,186.0
lgbm_no_network,fwd_ret_1m,2018,z_owner_hhi,133.0
lgbm_no_network,fwd_ret_1m,2018,z_top_owner_share,67.0
lgbm_no_network,fwd_ret_1m,2018,z_fragility_proxy,125.0
lgbm_no_network,fwd_ret_1m,2018,z_avg_manager_breadth,69.0
lgbm_no_network,fwd_ret_1m,2018,z_stock_sell_pressure,530.0
lgbm_no_network,fwd_ret_1m,2018,z_mktcap_proxy,307.0
lgbm_no_network,fwd_ret_1m,2018,z_vol,266.0
lgbm_no_network,fwd_ret_1m,2018,z_fragility_proxy_x_stock_sell_pressure,53.0
lgbm_no_network,fwd_ret_1m,2018,z_owner_hhi_x_stock_sell_pressure,94.0
lgbm_network_pressure,fwd_ret_1m,2018,z_stock_sell_pressure,362.0
lgbm_network_pressure,fwd_ret_1m,2018,z_network_degree,86.0
lgbm_network_pressure,fwd_ret_1m,2018,z_network_weighted_degree,172.0
lgbm_network_pressure,fwd_ret_1m,2018,z_network_peer_sell_pressure,72.0
lgbm_network_pressure,fwd_ret_1m,2018,z_fragility_proxy_x_stock_sell_pressure,41.0
lgbm_network_pressure,fwd_ret_1m,2018,z_fragility_proxy_x_network_peer_sell_pressure,32.0
lgbm_network_pressure,fwd_ret_1m,2018,z_owner_hhi_x_stock_sell_pressure,72.0
lgbm_network_pressure,fwd_ret_1m,2018,z_network_weighted_degree_x_network_peer_sell_pressure,33.0
ridge_all,fwd_ret_1m,2019,z_owner_count,0.00015544112829957157
ridge_all,fwd_ret_1m,2019,z_owner_hhi,0.0016331056831404567
ridge_all,fwd_ret_1m,2019,z_top_owner_share,0.000664548366330564
ridge_all,fwd_ret_1m,2019,z_fragility_proxy,0.0020026532001793385
ridge_all,fwd_ret_1m,2019,z_avg_manager_breadth,0.002805607160553336
